epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.20011,1.01609,2.78569,2.10919,1.51998,0,0.00613,0.82796,0.24163,0.06654,0.00358,0.48387,0.0161,0.00305,2.26567,28.2255,2.80884,2.78724,0,0.000325758,0.000325758,0.06775
2,9.29063,0.87817,1.6543,1.27688,1.36687,0,0.97986,0.15054,0.83212,0.6317,0.90987,0.13978,0.72722,0.3463,0.8951,3.6088,2.27936,1.48653,0,0.000654741,0.000654741,0.0347457
3,13.157,0.83223,1.53606,1.149,1.3122,0,0.79107,0.76344,0.86278,0.65823,0.79107,0.76344,0.86548,0.52296,0.84855,2.45557,1.47461,1.43916,0,0.000979324,0.000979324,0.0017369
4,17.7298,0.80685,1.6783,1.04286,1.29732,0,0.84411,0.91398,0.91829,0.74098,0.82064,0.89247,0.88886,0.46527,0.72378,3.3174,1.08338,1.24713,0,0.0009802,0.0009802,0.0009802
