epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89937,2.71414,1.90439,0.73081,4.02965,2.9119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277778,0.00277778,0.075
2,3.3313,2.93885,1.79095,0.72702,3.96153,3.11877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607078,0.00607078,0.0449597
3,3.75067,2.73511,1.96242,0.73675,4.12789,2.94757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931978,0.00931978,0.0148753
4,4.21726,2.87867,1.87981,0.72044,3.94355,3.02021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,4.75971,3.09427,1.77629,0.71068,3.94725,3.17827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,5.311,2.90351,1.38288,0.68699,3.06038,3.05083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,5.84201,2.81399,1.59688,0.67346,2.88195,3.06213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,6.38702,2.68951,1.50848,0.65309,3.06627,2.94446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,6.92584,2.75298,1.19385,0.63402,3.20281,3.02957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,7.46158,2.75792,1.28999,0.66916,3.03011,3.01147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,7.99427,2.63837,1.30397,0.61459,3.11664,2.96155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,8.55319,2.62144,1.20448,0.58831,3.01328,2.87848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,9.11193,2.6824,1.1909,0.59579,3.01462,2.95326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,9.67536,2.63273,0.86766,0.5988,2.94877,2.89299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,10.2109,2.64463,0.99994,0.61277,2.91516,2.88908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,10.752,2.51769,0.82013,0.58647,3.01053,2.78179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,11.2818,2.58059,0.79848,0.56012,2.92937,2.89148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
