epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
107,186.071,1.23797,0.0941,0.53685,0.50242,0.02339,4.40394,0.91735,0.90618,0.92785,0.47942,0.91735,0.90618,0.91374,0.91374,1.59568,0.12616,0.11999,0.69403,0.03029,0,0.0003004,0.0003004,0.0003004
108,187.807,1.11425,0.15127,0.44808,0.50719,0.02083,4.62837,0.92058,0.93878,0.95007,0.52778,0.92058,0.93878,0.95007,0.93998,1.50142,0.09115,0.11971,0.49702,0.02737,0,0.0002938,0.0002938,0.0002938
109,189.519,1.23028,0.12687,0.39164,0.52647,0.02325,4.19861,0.86985,0.97959,0.94755,0.56073,0.9026,0.94575,0.9493,0.93845,1.40568,0.08457,0.12824,0.47949,0.02536,0,0.0002872,0.0002872,0.0002872
110,191.219,1.10213,0.15747,0.46334,0.53157,0.02129,4.72211,0.86576,0.97959,0.94864,0.56848,0.86576,0.97959,0.94864,0.94012,1.3834,0.08051,0.13078,0.47369,0.02497,0,0.0002806,0.0002806,0.0002806
111,192.944,1.16594,0.15086,0.4459,0.50545,0.02161,4.48161,0.92518,0.89796,0.948,0.56941,0.92518,0.89796,0.948,0.94079,1.38206,0.07684,0.12714,0.47708,0.0255,0,0.000274,0.000274,0.000274
112,194.782,1.13423,0.1255,0.42757,0.51782,0.02083,4.35739,0.87085,0.97959,0.95053,0.56448,0.87085,0.97959,0.95138,0.94333,1.41929,0.06616,0.12478,0.47121,0.02728,0,0.0002674,0.0002674,0.0002674
113,196.51,1.1459,0.16991,0.45243,0.5244,0.0231,4.57087,0.87191,0.97959,0.9458,0.56813,0.87191,0.97959,0.9458,0.93986,1.46682,0.05848,0.12275,0.49471,0.0294,0,0.0002608,0.0002608,0.0002608
114,198.237,1.13774,0.09979,0.52157,0.53003,0.02132,3.98608,0.8675,0.97959,0.9511,0.5695,0.8675,0.97959,0.9511,0.94487,1.474,0.05671,0.12346,0.4838,0.02989,0,0.0002542,0.0002542,0.0002542
115,199.955,1.15516,0.0725,0.41128,0.49263,0.02196,3.73828,0.87227,0.97559,0.94204,0.54643,0.87227,0.97559,0.94204,0.9361,1.50167,0.05946,0.12681,0.50481,0.03106,0,0.0002476,0.0002476,0.0002476
116,201.673,1.10914,0.08775,0.44152,0.50795,0.0209,3.76598,0.87118,0.97959,0.95014,0.56329,0.87118,0.97959,0.95014,0.94411,1.46742,0.05567,0.12877,0.48345,0.02969,0,0.000241,0.000241,0.000241
117,203.413,1.06767,0.04889,0.4196,0.45423,0.02068,3.95138,0.88628,0.97959,0.95253,0.55866,0.88628,0.97959,0.95253,0.9461,1.44466,0.05591,0.13533,0.46691,0.02827,0,0.0002344,0.0002344,0.0002344
118,205.114,1.16057,0.07043,0.41167,0.47148,0.02279,3.81354,0.92139,0.93878,0.96918,0.57166,0.92139,0.93878,0.96918,0.96286,1.44152,0.05419,0.13614,0.45448,0.02776,0,0.0002278,0.0002278,0.0002278
119,206.834,1.111,0.08092,0.39671,0.48328,0.02135,4.11075,0.9388,0.93911,0.97177,0.56709,0.9388,0.93911,0.97177,0.96535,1.46691,0.05416,0.1364,0.45562,0.02794,0,0.0002212,0.0002212,0.0002212
120,208.587,1.10392,0.08803,0.3874,0.52947,0.02216,4.36896,0.92008,0.93981,0.97053,0.55748,0.92008,0.93981,0.97053,0.96579,1.5009,0.05055,0.13244,0.4775,0.0284,0,0.0002146,0.0002146,0.0002146
121,210.317,1.12355,0.0603,0.43498,0.46748,0.02108,3.62128,0.87036,0.97959,0.94929,0.52509,0.87036,0.97959,0.94929,0.94307,1.53122,0.04989,0.12888,0.50087,0.029,0,0.000208,0.000208,0.000208
122,212.063,1.06269,0.09154,0.41761,0.47288,0.0198,3.35903,0.87129,0.97959,0.9501,0.52237,0.87129,0.97959,0.9501,0.94536,1.52656,0.04929,0.12607,0.50524,0.02877,0,0.0002014,0.0002014,0.0002014
123,213.795,1.08055,0.09862,0.4598,0.42833,0.02013,3.68528,0.86838,0.95918,0.94862,0.53006,0.86838,0.95918,0.94862,0.94372,1.50963,0.04681,0.12593,0.50882,0.02815,0,0.0001948,0.0001948,0.0001948
124,215.502,1.11934,0.08065,0.40066,0.51359,0.02107,3.97574,0.87186,0.97959,0.9474,0.53643,0.87186,0.97959,0.9474,0.94258,1.48581,0.04769,0.1275,0.49895,0.0274,0,0.0001882,0.0001882,0.0001882
125,217.223,1.21664,0.10004,0.45476,0.53579,0.02246,3.88433,0.86988,0.97959,0.94687,0.54915,0.86988,0.97959,0.94687,0.94205,1.45769,0.04759,0.12743,0.48978,0.02672,0,0.0001816,0.0001816,0.0001816
126,218.941,1.0862,0.09292,0.35388,0.41762,0.02101,4.20249,0.87271,0.97959,0.94666,0.5489,0.87271,0.97959,0.94857,0.94252,1.4524,0.04834,0.12779,0.49641,0.02665,0,0.000175,0.000175,0.000175
127,220.645,1.13235,0.09668,0.44958,0.53486,0.02135,3.76475,0.88748,0.96587,0.96325,0.55711,0.88748,0.96587,0.96325,0.95843,1.45976,0.04948,0.12681,0.48156,0.02697,0,0.0001684,0.0001684,0.0001684
128,222.381,1.07074,0.04054,0.42081,0.51537,0.02043,3.30535,0.87153,0.97959,0.95193,0.56289,0.87153,0.97959,0.95193,0.94695,1.46145,0.04947,0.12512,0.48357,0.0274,0,0.0001618,0.0001618,0.0001618
129,224.099,1.0358,0.08999,0.37676,0.44444,0.01972,3.5779,0.87104,0.97959,0.94981,0.5606,0.87104,0.97959,0.94981,0.94483,1.44489,0.05093,0.12128,0.47681,0.02728,0,0.0001552,0.0001552,0.0001552
130,225.806,1.24218,0.07477,0.38559,0.50145,0.02381,3.51037,0.87053,0.97959,0.96197,0.56487,0.87053,0.97959,0.96197,0.95343,1.43658,0.04958,0.11966,0.46719,0.02716,0,0.0001486,0.0001486,0.0001486
131,227.517,1.10439,0.05219,0.40209,0.44104,0.02085,3.29045,0.87134,0.97959,0.94883,0.56886,0.87134,0.97959,0.94883,0.94025,1.41654,0.0515,0.11842,0.46766,0.02687,0,0.000142,0.000142,0.000142
132,229.245,1.23179,0.12053,0.37392,0.45774,0.0219,3.80322,0.87142,0.97959,0.94681,0.56661,0.87142,0.97959,0.94681,0.93848,1.40275,0.05994,0.11631,0.46721,0.02658,0,0.0001354,0.0001354,0.0001354
133,230.962,1.13399,0.06242,0.40997,0.52496,0.02114,3.18519,0.87051,0.97959,0.95091,0.56859,0.87051,0.97959,0.95091,0.94245,1.39156,0.06011,0.11642,0.4606,0.02621,0,0.0001288,0.0001288,0.0001288
134,232.663,1.15836,0.09226,0.46922,0.51185,0.02175,4.41581,0.87126,0.97959,0.94987,0.57137,0.87126,0.97959,0.94987,0.94137,1.38333,0.05761,0.11708,0.45579,0.026,0,0.0001222,0.0001222,0.0001222
135,234.387,1.10337,0.06947,0.39892,0.47644,0.02083,3.33703,0.87127,0.97959,0.9506,0.57239,0.87127,0.97959,0.9506,0.94211,1.38562,0.05195,0.11884,0.45669,0.02585,0,0.0001156,0.0001156,0.0001156
136,236.093,0.99626,0.10857,0.34627,0.4205,0.01902,3.61599,0.87116,0.97959,0.95232,0.57213,0.87116,0.97959,0.95232,0.94374,1.40587,0.05178,0.11921,0.45738,0.02654,0,0.000109,0.000109,0.000109
137,237.815,1.11781,0.05035,0.39311,0.53643,0.01984,3.31493,0.87267,0.97914,0.94937,0.56353,0.87267,0.97914,0.94937,0.94086,1.42901,0.04645,0.12076,0.47195,0.02708,0,0.0001024,0.0001024,0.0001024
138,239.533,1.17637,0.11615,0.37273,0.47681,0.02152,3.3739,0.86998,0.97959,0.95551,0.55818,0.86998,0.97959,0.95551,0.94714,1.45247,0.04934,0.1205,0.46678,0.02771,0,9.58e-05,9.58e-05,9.58e-05
139,241.247,1.09321,0.13495,0.35342,0.46342,0.02107,4.47665,0.87071,0.97959,0.95745,0.55704,0.87071,0.97959,0.95745,0.95239,1.44967,0.04684,0.12101,0.46792,0.0275,0,8.92e-05,8.92e-05,8.92e-05
140,242.953,1.15232,0.10064,0.42345,0.50358,0.02157,3.41957,0.95795,0.92999,0.97247,0.56402,0.95795,0.92999,0.97247,0.96615,1.46161,0.05415,0.12046,0.45458,0.02775,0,8.26e-05,8.26e-05,8.26e-05
141,248.033,0.98971,0.03223,0.22242,0.30279,0.01972,3.04341,0.95728,0.91479,0.96985,0.56724,0.95728,0.91479,0.96985,0.96363,1.45855,0.05249,0.12083,0.46236,0.02758,0,7.6e-05,7.6e-05,7.6e-05
142,249.718,1.02278,0.01759,0.19322,0.28987,0.02048,2.62207,0.87234,0.97626,0.96587,0.56335,0.87234,0.97626,0.96587,0.95974,1.45498,0.05287,0.11986,0.47517,0.02744,0,6.94e-05,6.94e-05,6.94e-05
143,251.431,0.92221,0.02189,0.25731,0.34017,0.01959,2.62319,0.87192,0.97262,0.9546,0.56418,0.87192,0.97262,0.9546,0.94807,1.4484,0.04834,0.12129,0.48134,0.02719,0,6.28e-05,6.28e-05,6.28e-05
144,253.142,1.01266,0.02443,0.20188,0.28522,0.02111,2.69495,0.87249,0.97755,0.95093,0.56597,0.87249,0.97755,0.95093,0.9444,1.4377,0.04837,0.12145,0.47728,0.0268,0,5.62e-05,5.62e-05,5.62e-05
145,254.859,0.99068,0.03094,0.23625,0.29145,0.01912,2.8104,0.95706,0.90984,0.96604,0.57262,0.95706,0.90984,0.96604,0.96122,1.43098,0.04589,0.12257,0.46241,0.0266,0,4.96e-05,4.96e-05,4.96e-05
146,256.558,0.96935,0.04843,0.2199,0.37216,0.02085,3.38041,0.87197,0.97307,0.96377,0.58068,0.87197,0.97307,0.96377,0.95903,1.41721,0.04505,0.12328,0.46692,0.0262,0,4.3e-05,4.3e-05,4.3e-05
147,258.256,0.98776,0.05034,0.23387,0.299,0.02028,3.42974,0.9488,0.89796,0.96728,0.58307,0.9488,0.89796,0.96728,0.9623,1.40713,0.04185,0.12405,0.46069,0.02598,0,3.64e-05,3.64e-05,3.64e-05
148,259.959,0.91455,0.02919,0.26886,0.27336,0.01886,2.9852,0.9036,0.95655,0.96659,0.58443,0.9036,0.95655,0.96659,0.96161,1.40696,0.04266,0.12491,0.45945,0.02594,0,2.98e-05,2.98e-05,2.98e-05
149,261.669,0.99749,0.02956,0.2175,0.27656,0.0204,2.63888,0.93707,0.91178,0.95499,0.577,0.93707,0.91178,0.95499,0.94834,1.41826,0.04649,0.12479,0.46597,0.02621,0,2.32e-05,2.32e-05,2.32e-05
150,263.376,0.92891,0.06675,0.20423,0.29205,0.01932,2.88149,0.85927,0.99694,0.96756,0.58007,0.85927,0.99694,0.96756,0.96239,1.41214,0.04234,0.12512,0.45996,0.02606,0,1.66e-05,1.66e-05,1.66e-05
