epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,45.2629,1.47709,0.29096,0.56727,0.64916,0.02962,9.5405,0.8915,0.91837,0.94242,0.50487,0.8915,0.91837,0.9394,0.91329,1.61085,0.24458,0.16025,0.59013,0.03269,0,0.0008416,0.0008416,0.0008416
26,46.9809,1.35028,0.4207,0.38139,0.6385,0.02859,9.79864,0.90738,0.93878,0.95661,0.55341,0.90738,0.93878,0.95974,0.92684,1.44705,0.24214,0.15337,0.48909,0.02887,0,0.000835,0.000835,0.000835
27,48.7014,1.50768,0.34823,0.43235,0.64893,0.03032,9.144,0.88831,0.97394,0.96269,0.54532,0.88831,0.97394,0.96536,0.93202,1.47826,0.21448,0.13415,0.47201,0.02958,0,0.0008284,0.0008284,0.0008284
28,50.4343,1.40424,0.29048,0.53402,0.63169,0.02744,9.19395,0.91506,0.93878,0.96471,0.42473,0.91506,0.93878,0.9693,0.94443,1.94453,0.18414,0.12722,0.55862,0.0446,0,0.0008218,0.0008218,0.0008218
29,52.1508,1.50576,0.36852,0.53692,0.70537,0.03049,9.18111,0.90218,0.95918,0.9651,0.43639,0.90218,0.95918,0.9651,0.94854,1.88338,0.15224,0.13013,0.55409,0.04244,0,0.0008152,0.0008152,0.0008152
30,53.869,1.461,0.2957,0.51663,0.69185,0.02826,8.95853,0.92037,0.95918,0.95985,0.46152,0.92037,0.95918,0.94931,0.94239,1.77404,0.16997,0.12748,0.53454,0.03797,0,0.0008086,0.0008086,0.0008086
31,55.6025,1.39496,0.32248,0.4327,0.56977,0.0293,9.06421,0.8988,0.95918,0.95275,0.50943,0.8988,0.95918,0.94094,0.93982,1.57859,0.16378,0.12684,0.52495,0.03099,0,0.000802,0.000802,0.000802
32,57.3189,1.37564,0.31973,0.38599,0.6481,0.02965,9.05392,0.91936,0.93074,0.9514,0.51349,0.91936,0.93074,0.9514,0.93446,1.59898,0.16394,0.13363,0.51098,0.03239,0,0.0007954,0.0007954,0.0007954
33,59.0395,1.28318,0.29092,0.40199,0.52647,0.02695,9.09169,0.91165,0.93878,0.94824,0.50555,0.91165,0.93878,0.93584,0.93547,1.60662,0.1527,0.14097,0.58574,0.0334,0,0.0007888,0.0007888,0.0007888
34,60.7835,1.27878,0.18648,0.42073,0.59206,0.02575,8.32168,0.93592,0.93878,0.95696,0.50587,0.93592,0.93878,0.94797,0.94515,1.64472,0.16821,0.14601,0.50016,0.03456,0,0.0007822,0.0007822,0.0007822
35,62.504,1.28451,0.26741,0.42181,0.62491,0.02532,8.48333,0.88768,0.91837,0.94501,0.51073,0.9074,0.91837,0.94582,0.9425,1.61233,0.18685,0.13511,0.5431,0.03298,0,0.0007756,0.0007756,0.0007756
36,64.2108,1.39123,0.26767,0.36406,0.57257,0.02911,9.00525,0.93436,0.93878,0.94914,0.54307,0.93436,0.93878,0.94914,0.93991,1.52701,0.19778,0.12902,0.52116,0.02927,0,0.000769,0.000769,0.000769
37,65.9647,1.32485,0.20819,0.39548,0.51471,0.02569,7.7585,0.92993,0.93878,0.9553,0.54369,0.92993,0.93878,0.9553,0.95287,1.57595,0.15283,0.11684,0.52354,0.03163,0,0.0007624,0.0007624,0.0007624
38,67.6782,1.34987,0.21446,0.44609,0.55589,0.02775,8.84358,0.93985,0.9567,0.96541,0.52666,0.93985,0.9567,0.96179,0.96076,1.61996,0.14333,0.11813,0.52542,0.03334,0,0.0007558,0.0007558,0.0007558
39,69.3873,1.36949,0.23197,0.38251,0.5766,0.02975,7.94574,0.94087,0.97436,0.97421,0.49871,0.94087,0.97436,0.97421,0.96579,1.68266,0.12235,0.11866,0.56693,0.0352,0,0.0007492,0.0007492,0.0007492
40,71.115,1.37124,0.23388,0.39834,0.51888,0.02745,7.29422,0.94077,0.97249,0.96652,0.50497,0.94077,0.97249,0.97288,0.95915,1.66558,0.11023,0.12018,0.52033,0.03371,0,0.0007426,0.0007426,0.0007426
41,72.8331,1.35184,0.27506,0.46458,0.60577,0.02707,8.03714,0.93837,0.93878,0.94827,0.49827,0.93837,0.93878,0.94827,0.93965,1.63592,0.16705,0.13434,0.53622,0.03359,0,0.000736,0.000736,0.000736
42,74.5285,1.31803,0.23195,0.50433,0.61674,0.02633,7.51618,0.94938,0.97959,0.95524,0.50808,0.94938,0.97959,0.95607,0.94495,1.61631,0.16377,0.13155,0.50534,0.03285,0,0.0007294,0.0007294,0.0007294
43,76.2534,1.42809,0.20427,0.37894,0.52289,0.02918,7.71138,0.93749,0.97959,0.9437,0.52377,0.93749,0.97959,0.94491,0.93166,1.52912,0.18504,0.1291,0.49018,0.02998,0,0.0007228,0.0007228,0.0007228
44,77.9767,1.34236,0.23269,0.38308,0.6162,0.02776,8.88462,0.93905,0.95918,0.94784,0.52881,0.93905,0.95918,0.9493,0.93291,1.55075,0.19024,0.12674,0.53451,0.03068,0,0.0007162,0.0007162,0.0007162
45,79.6861,1.3283,0.17626,0.44713,0.58321,0.0274,7.88663,0.92286,0.97959,0.95164,0.4843,0.92286,0.97959,0.95307,0.94548,1.69863,0.15717,0.12114,0.55035,0.03481,0,0.0007096,0.0007096,0.0007096
46,81.4024,1.41096,0.17141,0.47028,0.536,0.02942,7.52018,0.92122,0.95462,0.94794,0.47191,0.92122,0.95462,0.94891,0.94185,1.70452,0.14541,0.12348,0.59775,0.03506,0,0.000703,0.000703,0.000703
47,83.116,1.35872,0.20105,0.40093,0.558,0.0276,7.43384,0.92181,0.97959,0.94252,0.53434,0.92181,0.97959,0.95076,0.94172,1.48758,0.14789,0.12533,0.52918,0.02937,0,0.0006964,0.0006964,0.0006964
48,84.8301,1.2894,0.13679,0.47042,0.55949,0.0263,7.17215,0.94109,0.97959,0.94782,0.5941,0.94109,0.97959,0.96291,0.95382,1.3742,0.16817,0.1291,0.53036,0.0266,0,0.0006898,0.0006898,0.0006898
49,86.5541,1.36668,0.21292,0.48439,0.68492,0.02648,7.63904,0.90417,0.97959,0.96191,0.53261,0.90417,0.97959,0.97551,0.95541,1.52927,0.14494,0.13386,0.54127,0.03097,0,0.0006832,0.0006832,0.0006832
50,88.2561,1.41217,0.19429,0.39978,0.61268,0.0274,7.04126,0.90437,0.97959,0.95729,0.51414,0.90437,0.97959,0.97222,0.95585,1.58125,0.11831,0.12982,0.55684,0.03269,0,0.0006766,0.0006766,0.0006766
51,89.9823,1.37254,0.18785,0.43603,0.68517,0.02553,7.03662,0.89827,0.95918,0.9423,0.47457,0.89827,0.95918,0.95193,0.9417,1.67314,0.11409,0.12118,0.53667,0.03526,0,0.00067,0.00067,0.00067
52,91.7036,1.31191,0.2231,0.44713,0.70109,0.02581,7.42028,0.88698,0.97959,0.94566,0.50215,0.88698,0.97959,0.95138,0.94014,1.6187,0.09889,0.12065,0.49604,0.0334,0,0.0006634,0.0006634,0.0006634
53,93.4148,1.2795,0.14701,0.41765,0.55027,0.02688,7.32804,0.91555,0.93878,0.93556,0.46599,0.91555,0.93878,0.93348,0.93091,1.69844,0.10392,0.12003,0.54129,0.03475,0,0.0006568,0.0006568,0.0006568
54,95.1179,1.2768,0.16592,0.35362,0.56928,0.02575,7.15997,0.91801,0.93878,0.93328,0.44927,0.91801,0.93878,0.92941,0.92795,1.76678,0.10537,0.12196,0.56924,0.03635,0,0.0006502,0.0006502,0.0006502
55,96.8222,1.38006,0.27375,0.40112,0.68928,0.0278,6.89169,0.91688,0.91837,0.93203,0.48782,0.91688,0.91837,0.94772,0.93968,1.6659,0.11273,0.12134,0.55342,0.03349,0,0.0006436,0.0006436,0.0006436
56,98.5423,1.31086,0.13509,0.47546,0.58301,0.02485,6.3744,0.91645,0.93878,0.94341,0.56369,0.91645,0.93878,0.95379,0.94444,1.46185,0.12836,0.12141,0.50285,0.02873,0,0.000637,0.000637,0.000637
57,100.254,1.41047,0.17558,0.42081,0.611,0.02784,7.21582,0.91856,0.93878,0.94739,0.58683,0.91856,0.93878,0.94067,0.93469,1.36967,0.13577,0.11575,0.47502,0.02735,0,0.0006304,0.0006304,0.0006304
58,101.945,1.18269,0.15131,0.40794,0.4828,0.02432,6.86161,0.93705,0.91149,0.94808,0.59269,0.93705,0.91149,0.9439,0.93513,1.33388,0.14083,0.11042,0.47441,0.02708,0,0.0006238,0.0006238,0.0006238
59,103.681,1.30777,0.1561,0.44361,0.66941,0.02581,6.97417,0.91708,0.91837,0.95675,0.5985,0.91708,0.91837,0.95449,0.94704,1.34201,0.15932,0.11059,0.46634,0.02735,0,0.0006172,0.0006172,0.0006172
60,105.394,1.2796,0.154,0.42869,0.56032,0.02412,6.87471,0.86856,0.97959,0.95324,0.58317,0.86856,0.97959,0.95151,0.94057,1.36865,0.16343,0.10935,0.46859,0.02731,0,0.0006106,0.0006106,0.0006106
61,107.113,1.31706,0.11969,0.45591,0.54169,0.02614,6.7777,0.88505,0.97959,0.96196,0.55123,0.88505,0.97959,0.9547,0.95161,1.51712,0.15288,0.12168,0.48842,0.03075,0,0.000604,0.000604,0.000604
62,108.822,1.20291,0.13765,0.36965,0.48926,0.025,6.61295,0.90114,0.97959,0.94924,0.50782,0.92304,0.97914,0.95178,0.94718,1.63511,0.14551,0.121,0.50811,0.03334,0,0.0005974,0.0005974,0.0005974
63,110.534,1.34992,0.19602,0.41221,0.52497,0.02635,6.67274,0.90531,0.97562,0.95263,0.45191,0.90531,0.97562,0.95263,0.95056,1.82868,0.13452,0.11877,0.53818,0.03635,0,0.0005908,0.0005908,0.0005908
64,112.262,1.31329,0.15033,0.47348,0.54247,0.02622,6.29527,0.91304,0.95918,0.94842,0.47115,0.93269,0.97959,0.95194,0.94814,1.73892,0.14854,0.11602,0.52905,0.03393,0,0.0005842,0.0005842,0.0005842
65,114.018,1.31291,0.10956,0.39926,0.53496,0.02762,6.39754,0.93311,0.95918,0.95178,0.52434,0.93311,0.95918,0.95178,0.95178,1.59982,0.15025,0.11459,0.49558,0.03236,0,0.0005776,0.0005776,0.0005776
66,115.733,1.36929,0.15516,0.39776,0.5166,0.02814,6.0916,0.94205,0.93878,0.96158,0.57032,0.94205,0.93878,0.95348,0.95022,1.52383,0.16077,0.11535,0.47972,0.03071,0,0.000571,0.000571,0.000571
67,117.439,1.22068,0.13336,0.40946,0.49961,0.02405,5.77459,0.86513,0.97959,0.94547,0.59279,0.86513,0.97959,0.94457,0.92934,1.38526,0.18122,0.11128,0.4853,0.02725,0,0.0005644,0.0005644,0.0005644
