epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,76.3539,1.4207,0.25593,0.42932,0.67407,0.02929,9.93946,0.95816,0.93469,0.96222,0.51752,0.95816,0.93469,0.96222,0.95407,1.52654,0.10801,0.16455,0.49741,0.03,0,0.0008416,0.0008416,0.0008416
26,79.2868,1.40918,0.2292,0.452,0.62025,0.02959,9.06816,0.93357,0.91837,0.96497,0.52524,0.93357,0.91837,0.96497,0.95701,1.41692,0.09643,0.14416,0.4729,0.02781,0,0.000835,0.000835,0.000835
27,82.1924,1.47049,0.35958,0.45051,0.75371,0.0303,10.1763,0.93346,0.91837,0.97094,0.50755,0.87282,1,0.97266,0.96595,1.5117,0.10576,0.12765,0.47746,0.03163,0,0.0008284,0.0008284,0.0008284
28,85.1038,1.45263,0.24028,0.45546,0.57342,0.02862,8.69477,0.87662,1,0.97699,0.51029,0.87662,1,0.97699,0.96402,1.53353,0.11812,0.12032,0.45947,0.03389,0,0.0008218,0.0008218,0.0008218
29,88.0111,1.41864,0.21966,0.50545,0.71529,0.0271,8.95523,0.88124,0.97959,0.97451,0.54572,0.88124,0.97959,0.97451,0.95758,1.42725,0.11536,0.1174,0.45391,0.03028,0,0.0008152,0.0008152,0.0008152
30,90.9551,1.31287,0.3031,0.35083,0.6787,0.02573,9.17758,0.9017,0.93602,0.96234,0.54961,0.9017,0.93602,0.9691,0.94145,1.42537,0.16581,0.1114,0.47721,0.02876,0,0.0008086,0.0008086,0.0008086
31,93.894,1.30467,0.26644,0.44238,0.64356,0.02819,9.13797,0.90558,0.95918,0.96264,0.5007,0.90558,0.95918,0.96685,0.94745,1.54113,0.18316,0.10136,0.54029,0.03265,0,0.000802,0.000802,0.000802
32,96.7695,1.35633,0.24539,0.50598,0.6122,0.02861,9.06482,0.9153,0.91837,0.96248,0.46841,0.9153,0.91837,0.96565,0.9431,1.68249,0.17375,0.09372,0.54921,0.0374,0,0.0007954,0.0007954,0.0007954
33,99.6641,1.28319,0.28262,0.3865,0.59368,0.02774,8.60803,0.93593,0.93878,0.97257,0.46097,0.93593,0.93878,0.97257,0.95083,1.7957,0.14466,0.09614,0.55887,0.04229,0,0.0007888,0.0007888,0.0007888
34,102.58,1.46446,0.23139,0.40308,0.61642,0.02986,8.31605,0.93163,0.93878,0.97707,0.57482,0.93163,0.93878,0.97707,0.96081,1.48394,0.13543,0.0994,0.50106,0.03282,0,0.0007822,0.0007822,0.0007822
35,105.472,1.34011,0.23032,0.30759,0.50947,0.02848,8.06368,0.89849,0.95918,0.96515,0.57135,0.89849,0.95918,0.96515,0.94771,1.48234,0.14308,0.10741,0.4834,0.0319,0,0.0007756,0.0007756,0.0007756
36,108.399,1.34939,0.23581,0.40246,0.59937,0.02914,8.42138,0.90358,0.95625,0.97197,0.49823,0.90358,0.95625,0.96987,0.9502,1.61344,0.15118,0.11279,0.47923,0.03414,0,0.000769,0.000769,0.000769
37,111.293,1.32785,0.26101,0.41447,0.60801,0.02803,8.3648,0.88775,0.91837,0.95343,0.45904,0.88775,0.91837,0.94806,0.93478,1.73346,0.12987,0.10676,0.54844,0.03794,0,0.0007624,0.0007624,0.0007624
