epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59813,2.45586,2.027,0.53116,1.66416,3.07168,0.30063,0.19643,0.12371,0.01794,0.39139,0.41071,0.39793,0.09528,3.80918,2.99932,0.34282,2.31318,5.02315,0.000320988,0.000320988,0.0682222
2,6.41743,1.8515,1.68178,0.39461,1.1024,2.59641,0.80734,0.74832,0.81214,0.23165,0.6951,0.76786,0.74025,0.1775,2.59086,2.7544,0.28719,1.20944,3.26655,0.000650002,0.000650002,0.0352179
3,9.02461,1.92251,1.37599,0.51061,1.11997,2.68746,0.69646,0.77856,0.70085,0.19714,0.66174,0.73362,0.70376,0.21925,2.59727,2.51086,0.27128,1.22921,3.55168,0.000974617,0.000974617,0.00220919
4,11.6714,2.02279,1.31867,0.63588,1.17567,2.64785,0.81392,0.78113,0.85175,0.2382,0.71217,0.91071,0.86607,0.5847,2.36249,1.40636,0.47927,1.85071,3.42192,0.0009802,0.0009802,0.0009802
5,14.4142,1.89318,1.01298,0.55925,1.05427,2.5491,0.75406,0.96429,0.89586,0.25387,0.75406,0.96429,0.88183,0.65156,2.25647,1.02859,0.4697,1.27811,2.88258,0.0009736,0.0009736,0.0009736
6,17.2856,1.86928,1.12535,0.53055,1.049,2.52556,0.86208,0.92857,0.93805,0.31264,0.84348,0.91071,0.90805,0.58498,2.10383,1.26385,0.44619,0.95374,2.81923,0.000967,0.000967,0.000967
7,20.1603,1.72152,0.9079,0.53121,1.03331,2.51039,0.94507,0.92179,0.95448,0.30495,0.92676,0.90394,0.93324,0.75128,2.28521,0.86949,0.49369,1.01676,2.91401,0.0009604,0.0009604,0.0009604
8,22.7993,1.82214,0.75988,0.52987,1.02859,2.43519,0.85494,0.91071,0.94061,0.40213,0.86503,0.92857,0.95011,0.81007,1.93684,0.67143,0.41501,1.02649,2.62234,0.0009538,0.0009538,0.0009538
9,25.6109,1.70784,0.68275,0.46017,0.9887,2.3803,0.8659,0.92248,0.93272,0.33133,0.79137,0.88062,0.80656,0.6596,2.04661,0.61856,0.44098,1.19212,3.08295,0.0009472,0.0009472,0.0009472
10,28.4361,1.61928,0.75622,0.51029,0.97634,2.32421,0.95267,0.92857,0.98416,0.33445,0.93341,0.91071,0.97041,0.81641,2.2368,0.63288,0.37452,1.03262,3.00431,0.0009406,0.0009406,0.0009406
