epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.4784,0.92242,0.73246,1.152,0.96949,0.93939,0.9844,0.66245,1.13257,0.69281,1.1563,0.0007294,0.0007294,0.0007294
43,51.6066,0.93015,0.75362,1.15058,0.95754,0.95455,0.98695,0.75467,0.89089,0.62282,1.05195,0.0007228,0.0007228,0.0007228
44,52.7365,0.96393,0.76576,1.20092,0.9701,0.98316,0.99003,0.81565,0.71888,0.62619,0.98682,0.0007162,0.0007162,0.0007162
45,53.8797,0.99176,0.78159,1.1817,0.97744,0.95455,0.99185,0.80126,0.7859,0.63065,1.01938,0.0007096,0.0007096,0.0007096
46,55.034,0.89696,0.69092,1.14341,0.96707,0.98485,0.99085,0.7775,0.81217,0.60551,1.01736,0.000703,0.000703,0.000703
47,56.1577,0.94527,0.71634,1.19588,0.97552,1,0.9944,0.78954,0.78684,0.56188,1.01809,0.0006964,0.0006964,0.0006964
48,57.2934,0.96553,0.71016,1.17605,0.98503,0.99684,0.99351,0.71098,0.9975,0.58287,1.11772,0.0006898,0.0006898,0.0006898
49,58.4436,0.89221,0.67116,1.15362,0.98244,0.98485,0.99258,0.66873,1.16343,0.59993,1.13522,0.0006832,0.0006832,0.0006832
50,59.5903,0.93483,0.73339,1.17887,0.98368,0.98485,0.99216,0.76285,0.83182,0.58777,1.01709,0.0006766,0.0006766,0.0006766
51,60.7045,0.90192,0.71673,1.17725,0.96994,0.97768,0.99189,0.79614,0.73096,0.56866,1.00555,0.00067,0.00067,0.00067
52,61.8338,0.95464,0.70317,1.14769,0.95858,0.9697,0.99197,0.75593,0.88003,0.56079,1.06904,0.0006634,0.0006634,0.0006634
53,62.9798,0.86468,0.69634,1.11166,0.98474,0.97782,0.99034,0.74319,0.9355,0.60325,1.05121,0.0006568,0.0006568,0.0006568
54,64.1166,0.92764,0.71087,1.15755,0.94672,0.98485,0.99063,0.71194,1.04448,0.59811,1.1129,0.0006502,0.0006502,0.0006502
55,65.2529,0.92967,0.69309,1.15825,0.94016,0.98485,0.98767,0.7204,1.01676,0.57784,1.10701,0.0006436,0.0006436,0.0006436
