epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42011,0.97638,2.20114,2.06692,1.49129,0,0.00605,0.85714,0.01111,0.0034,0,0,0,0,2.72096,53.1355,3.00942,2.82149,0,0.000325758,0.000325758,0.06775
2,8.32529,0.80056,1.62484,1.26442,1.33534,0,0.91582,0.59783,0.88931,0.70941,0.91582,0.59783,0.88931,0.66287,0.69926,1.77065,1.94189,1.25094,0,0.000654741,0.000654741,0.0347457
3,12.1017,0.84068,1.44097,1.1164,1.36779,0,0.86198,0.89223,0.88034,0.60717,0.83071,0.86278,0.8084,0.34648,0.98639,5.31589,1.20816,1.51604,0,0.000979324,0.000979324,0.0017369
4,15.7325,0.79242,1.36804,1.02061,1.31824,0,0.89967,0.88688,0.93198,0.7477,0.89967,0.88688,0.92531,0.71095,0.72009,1.45355,1.08038,1.22603,0,0.0009802,0.0009802,0.0009802
5,19.3885,0.79818,1.2681,1.00593,1.29175,0,0.8947,0.93366,0.96109,0.78231,0.8947,0.93366,0.96019,0.76078,0.6906,1.35224,0.87048,1.23316,0,0.0009736,0.0009736,0.0009736
6,23.0616,0.71509,1.10005,0.90355,1.20263,0,0.89808,0.86813,0.94324,0.71305,0.89808,0.86813,0.9391,0.69739,0.8509,1.43564,0.88624,1.30828,0,0.000967,0.000967,0.000967
7,26.9311,0.71356,1.17771,0.85988,1.22752,0,0.92936,0.85714,0.94306,0.70951,0.92936,0.85714,0.94,0.75122,0.82375,1.08805,0.87495,1.39171,0,0.0009604,0.0009604,0.0009604
8,30.7436,0.71292,1.16683,0.89403,1.19671,0,0.88577,0.93731,0.94866,0.82264,0.88577,0.93731,0.94866,0.79612,0.58095,1.00106,0.74125,1.11388,0,0.0009538,0.0009538,0.0009538
9,34.4913,0.69505,1.08636,0.78619,1.20147,0,0.96537,0.91909,0.96715,0.80544,0.96537,0.91909,0.96715,0.81586,0.61037,0.97148,0.70085,1.15034,0,0.0009472,0.0009472,0.0009472
10,38.3021,0.65538,1.03086,0.77786,1.16584,0,0.97548,0.91209,0.96541,0.83379,0.97548,0.91209,0.96541,0.81312,0.57549,0.97534,0.66194,1.15495,0,0.0009406,0.0009406,0.0009406
11,42.0216,0.68573,1.0284,0.8233,1.19045,0,0.98804,0.90811,0.96834,0.83045,0.98804,0.90811,0.96834,0.79864,0.59396,1.12497,0.6942,1.15798,0,0.000934,0.000934,0.000934
12,45.6293,0.66248,1.07107,0.78281,1.15762,0,0.93225,0.90728,0.96279,0.80829,0.93225,0.90728,0.96279,0.79927,0.62944,1.03493,0.67608,1.19818,0,0.0009274,0.0009274,0.0009274
13,49.2613,0.62353,1.01511,0.74142,1.10121,0,0.93147,0.93407,0.96334,0.83149,0.93147,0.93407,0.96334,0.80696,0.56341,0.97984,0.63024,1.14838,0,0.0009208,0.0009208,0.0009208
14,53.084,0.59291,0.93524,0.68672,1.10846,0,0.97643,0.91045,0.9704,0.83921,0.97643,0.91045,0.9704,0.82164,0.58569,0.92099,0.62847,1.21742,0,0.0009142,0.0009142,0.0009142
15,56.8002,0.57871,0.95039,0.65465,1.12125,0,0.96435,0.89171,0.96392,0.80239,0.96435,0.89171,0.96392,0.80298,0.6451,1.03715,0.66459,1.2493,0,0.0009076,0.0009076,0.0009076
16,60.4671,0.60692,0.91823,0.66183,1.10827,0,0.92738,0.93407,0.96775,0.84212,0.92738,0.93407,0.96775,0.8397,0.54489,0.85421,0.5976,1.11846,0,0.000901,0.000901,0.000901
17,64.0823,0.54353,0.81943,0.61535,1.09386,0,0.95532,0.93995,0.97446,0.84549,0.95532,0.93995,0.97446,0.83191,0.5357,0.88466,0.57389,1.12646,0,0.0008944,0.0008944,0.0008944
18,67.7397,0.5717,0.81791,0.63361,1.09009,0,0.91376,0.95604,0.97272,0.83311,0.91376,0.95604,0.97272,0.84913,0.55731,0.81049,0.55778,1.12047,0,0.0008878,0.0008878,0.0008878
19,71.3823,0.60016,0.89797,0.65384,1.10238,0,0.93115,0.94505,0.97596,0.84264,0.93115,0.94505,0.97596,0.84263,0.57397,0.85963,0.53511,1.18142,0,0.0008812,0.0008812,0.0008812
20,75.0797,0.59585,0.88748,0.60885,1.09428,0,0.97674,0.92296,0.97029,0.84172,0.97674,0.92296,0.97029,0.84588,0.53811,0.84634,0.52616,1.12095,0,0.0008746,0.0008746,0.0008746
21,79.0563,0.53761,0.82322,0.60532,1.06252,0,0.98318,0.92308,0.96293,0.81595,0.98318,0.92308,0.96293,0.83705,0.60296,0.84335,0.54864,1.22129,0,0.000868,0.000868,0.000868
22,82.8246,0.54105,0.83647,0.568,1.05824,0,0.97156,0.9011,0.96231,0.84129,0.97156,0.9011,0.96231,0.84197,0.52617,0.86013,0.54691,1.12052,0,0.0008614,0.0008614,0.0008614
23,86.5576,0.53293,0.86741,0.55591,1.05937,0,0.97555,0.87689,0.95844,0.85015,0.97555,0.87689,0.95844,0.84698,0.51115,0.79813,0.55996,1.10101,0,0.0008548,0.0008548,0.0008548
24,90.2485,0.51262,0.7716,0.55685,1.05045,0,0.92363,0.93039,0.96131,0.84878,0.92363,0.93039,0.96156,0.83648,0.52029,0.83538,0.57815,1.09874,0,0.0008482,0.0008482,0.0008482
25,93.8349,0.52067,0.77489,0.52822,1.05508,0,0.91339,0.94505,0.96294,0.84803,0.91339,0.94505,0.96294,0.83928,0.56124,0.8206,0.54803,1.08101,0,0.0008416,0.0008416,0.0008416
26,97.4042,0.54495,0.7763,0.53002,1.04586,0,0.95346,0.91209,0.97178,0.85445,0.95346,0.91209,0.97178,0.85194,0.51022,0.7592,0.54601,1.07944,0,0.000835,0.000835,0.000835
27,101.201,0.50449,0.78807,0.53195,1.03576,0,0.95573,0.93407,0.9759,0.85081,0.95573,0.93407,0.9759,0.8523,0.49815,0.7594,0.48658,1.09348,0,0.0008284,0.0008284,0.0008284
28,104.903,0.48672,0.78233,0.53259,1.0376,0,0.96459,0.89807,0.97086,0.85937,0.96459,0.89807,0.97086,0.85622,0.49286,0.7632,0.4952,1.10829,0,0.0008218,0.0008218,0.0008218
29,108.606,0.49458,0.77822,0.50401,1.04089,0,0.92156,0.90378,0.96575,0.87271,0.92156,0.90378,0.96575,0.85789,0.49601,0.72526,0.51911,1.11712,0,0.0008152,0.0008152,0.0008152
