epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,42.988,1.24632,0.42301,0.41816,0.8149,1.42242,0.93117,0.82841,0.93367,0.42273,0.8995,0.85714,0.93896,0.90569,1.69798,0.2763,0.22893,0.75965,1.70586,0.0008284,0.0008284,0.0008284
28,44.5038,1.1946,0.2815,0.41898,0.69937,1.32869,0.93125,0.91837,0.95381,0.54856,0.93125,0.91837,0.95519,0.92765,1.34872,0.23155,0.20722,0.70499,1.40202,0.0008218,0.0008218,0.0008218
29,45.9892,1.22025,0.27687,0.43159,0.80441,1.40152,0.94396,0.89796,0.95044,0.55945,0.95716,0.91201,0.95625,0.92179,1.29965,0.24316,0.20401,0.73193,1.3957,0.0008152,0.0008152,0.0008152
30,47.4846,1.13963,0.30305,0.36002,0.74309,1.35359,0.94469,0.89796,0.92943,0.38579,0.93734,0.89796,0.95606,0.92072,1.85343,0.30769,0.1944,0.80771,1.84195,0.0008086,0.0008086,0.0008086
31,48.9665,1.15569,0.28616,0.4137,0.71701,1.37822,0.92684,0.89796,0.92294,0.44426,0.92684,0.89796,0.95034,0.89219,1.66556,0.29785,0.19488,0.76136,1.74202,0.000802,0.000802,0.000802
32,50.4489,1.15613,0.27189,0.4452,0.75939,1.3715,0.92634,0.89796,0.93037,0.49367,0.92911,0.89796,0.94562,0.87723,1.50798,0.30006,0.19215,0.70252,1.55192,0.0007954,0.0007954,0.0007954
33,51.9531,1.08967,0.2868,0.37164,0.69283,1.31172,0.95822,0.93607,0.96416,0.54125,0.95822,0.93607,0.96651,0.93018,1.43558,0.24904,0.20126,0.66105,1.42364,0.0007888,0.0007888,0.0007888
34,53.4356,1.18283,0.23786,0.37897,0.69078,1.33266,0.91409,0.89796,0.94959,0.55087,0.91409,0.89796,0.95615,0.91774,1.31778,0.33957,0.18355,0.64819,1.34208,0.0007822,0.0007822,0.0007822
35,54.9481,1.07778,0.24053,0.32093,0.6432,1.28759,0.93045,0.89796,0.93815,0.48142,0.93729,0.91516,0.94833,0.91253,1.50751,0.345,0.17045,0.69585,1.52032,0.0007756,0.0007756,0.0007756
36,56.444,1.10812,0.25003,0.3665,0.67062,1.32761,0.93714,0.91837,0.95096,0.42869,0.93714,0.91837,0.95627,0.91363,1.75097,0.28586,0.15823,0.71077,1.73594,0.000769,0.000769,0.000769
37,57.9307,1.17246,0.27412,0.36379,0.67719,1.34523,0.9466,0.93878,0.96666,0.56093,0.9466,0.93878,0.96733,0.93901,1.40545,0.23882,0.15001,0.64092,1.41982,0.0007624,0.0007624,0.0007624
38,59.4484,1.16026,0.25157,0.41192,0.67837,1.35515,0.95866,0.94663,0.96618,0.57492,0.95866,0.94663,0.96771,0.93849,1.3837,0.23667,0.14535,0.60897,1.39176,0.0007558,0.0007558,0.0007558
39,60.9574,1.14837,0.23666,0.3943,0.70113,1.31963,0.95356,0.89796,0.9522,0.5402,0.90309,0.95918,0.95499,0.93903,1.44974,0.24395,0.14612,0.64485,1.44593,0.0007492,0.0007492,0.0007492
40,62.4438,1.08312,0.20994,0.36574,0.64419,1.32232,0.91787,0.91242,0.95184,0.60857,0.91787,0.91242,0.95416,0.92921,1.23202,0.23923,0.15377,0.61157,1.31637,0.0007426,0.0007426,0.0007426
41,63.9444,1.11689,0.25316,0.30841,0.73279,1.30821,0.90889,0.87755,0.93183,0.50385,0.90889,0.87755,0.9323,0.89993,1.50244,0.26064,0.16849,0.69159,1.45868,0.000736,0.000736,0.000736
42,65.4463,1.0169,0.25917,0.36059,0.66602,1.28858,0.89732,0.89185,0.92522,0.45609,0.89732,0.89185,0.92522,0.90081,1.62842,0.26743,0.17447,0.71626,1.59489,0.0007294,0.0007294,0.0007294
43,66.9527,1.10004,0.22528,0.35255,0.65835,1.29263,0.90494,0.97146,0.964,0.48697,0.90494,0.97146,0.964,0.92403,1.42562,0.23411,0.14778,0.63019,1.49325,0.0007228,0.0007228,0.0007228
44,68.453,1.12054,0.18742,0.35372,0.7444,1.32666,0.93598,0.97959,0.96437,0.47264,0.93598,0.97959,0.96437,0.92995,1.50119,0.23866,0.12535,0.63209,1.54272,0.0007162,0.0007162,0.0007162
45,69.9952,1.07858,0.22806,0.36201,0.65909,1.3098,0.92289,0.97705,0.96769,0.46021,0.92289,0.97705,0.96769,0.93257,1.68121,0.24276,0.12351,0.67956,1.67295,0.0007096,0.0007096,0.0007096
46,71.5217,1.04851,0.19806,0.40343,0.6952,1.3209,0.9589,0.95247,0.96415,0.59035,0.9589,0.95247,0.96591,0.94652,1.31516,0.23123,0.10991,0.60831,1.40393,0.000703,0.000703,0.000703
47,73.0432,1.09516,0.23126,0.36632,0.67176,1.32486,0.95883,0.95073,0.9685,0.6051,0.95883,0.95073,0.96987,0.95207,1.25207,0.22261,0.11802,0.59342,1.35003,0.0006964,0.0006964,0.0006964
48,74.5684,1.05976,0.28315,0.36053,0.70164,1.2934,0.95642,0.95918,0.96592,0.60866,0.95642,0.95918,0.96871,0.95455,1.19751,0.21757,0.12533,0.58211,1.35016,0.0006898,0.0006898,0.0006898
49,76.0971,1.07933,0.21961,0.33302,0.64137,1.30947,0.92202,0.96528,0.96049,0.56478,0.92202,0.96528,0.96478,0.94743,1.3404,0.20932,0.14149,0.58659,1.41725,0.0006832,0.0006832,0.0006832
50,77.6135,1.05882,0.18524,0.35647,0.6202,1.2925,0.95996,0.9785,0.96677,0.60806,0.95996,0.9785,0.97564,0.95738,1.20531,0.1817,0.13574,0.56721,1.26374,0.0006766,0.0006766,0.0006766
51,79.1059,1.03104,0.21493,0.36384,0.60534,1.24661,0.95543,0.97959,0.96996,0.65071,0.95543,0.97959,0.97782,0.9683,1.10913,0.17211,0.12379,0.53529,1.21715,0.00067,0.00067,0.00067
52,80.6404,1.06873,0.21544,0.34448,0.62923,1.28744,0.95503,0.97959,0.96027,0.60409,0.95503,0.97959,0.97237,0.96112,1.14839,0.17618,0.11915,0.54975,1.26259,0.0006634,0.0006634,0.0006634
53,82.1445,0.97671,0.20204,0.3614,0.63978,1.23551,0.95906,0.95631,0.95958,0.56116,0.95906,0.95631,0.97204,0.96142,1.25439,0.17745,0.11913,0.55635,1.3427,0.0006568,0.0006568,0.0006568
54,83.6362,1.0882,0.25708,0.34924,0.72376,1.29792,0.95619,0.95918,0.96678,0.59122,0.95619,0.95918,0.97691,0.96434,1.19472,0.17443,0.12188,0.54631,1.29351,0.0006502,0.0006502,0.0006502
55,85.1447,0.98783,0.17736,0.28287,0.60637,1.24169,0.95907,0.95657,0.96935,0.61649,0.95907,0.95657,0.97554,0.96404,1.15576,0.16553,0.1207,0.55084,1.26592,0.0006436,0.0006436,0.0006436
56,86.6554,1.06765,0.16565,0.34421,0.5842,1.27106,0.92223,0.97959,0.96561,0.64168,0.92223,0.97959,0.97166,0.95828,1.10191,0.17425,0.11757,0.52924,1.23823,0.000637,0.000637,0.000637
57,88.1564,0.97816,0.19252,0.29165,0.59973,1.23862,0.90325,0.95277,0.95335,0.58459,0.93355,0.91837,0.95701,0.91587,1.22255,0.21206,0.12449,0.59468,1.30517,0.0006304,0.0006304,0.0006304
58,89.6567,1.06014,0.1787,0.31523,0.63019,1.27702,0.90125,0.93139,0.94969,0.56845,0.93747,0.91796,0.96266,0.92689,1.28581,0.21022,0.12635,0.63803,1.35128,0.0006238,0.0006238,0.0006238
59,91.1598,0.98417,0.17895,0.31418,0.62532,1.2211,0.95637,0.89467,0.94771,0.57884,0.93815,0.92871,0.96478,0.93806,1.22143,0.1966,0.11682,0.61942,1.28418,0.0006172,0.0006172,0.0006172
60,92.6574,0.97567,0.20916,0.28934,0.65083,1.23186,0.95634,0.89412,0.94718,0.61975,0.95634,0.89412,0.95839,0.92861,1.11173,0.20476,0.10834,0.54207,1.22913,0.0006106,0.0006106,0.0006106
61,94.1567,0.92379,0.16357,0.36858,0.64408,1.22968,0.95635,0.89431,0.95447,0.63238,0.95635,0.89431,0.95839,0.92968,1.12692,0.19251,0.1038,0.54307,1.25055,0.000604,0.000604,0.000604
62,95.6738,0.95412,0.1705,0.32328,0.61389,1.21416,0.93702,0.91102,0.95427,0.61789,0.93702,0.91102,0.95816,0.94549,1.23303,0.15905,0.10738,0.56037,1.32322,0.0005974,0.0005974,0.0005974
63,97.1782,0.92064,0.20289,0.3835,0.63788,1.18853,0.91824,0.93878,0.95859,0.59,0.91824,0.93878,0.96909,0.94534,1.25132,0.16109,0.11235,0.55728,1.38294,0.0005908,0.0005908,0.0005908
64,98.6577,0.94493,0.19154,0.33726,0.59372,1.21556,0.93829,0.93096,0.96215,0.59148,0.93829,0.93096,0.96959,0.95,1.22063,0.16433,0.11685,0.55633,1.3677,0.0005842,0.0005842,0.0005842
65,100.171,0.98579,0.18793,0.3421,0.6791,1.25421,0.91953,0.93293,0.96803,0.6197,0.91953,0.93293,0.97104,0.95319,1.15056,0.15076,0.1113,0.57681,1.26241,0.0005776,0.0005776,0.0005776
66,101.671,0.87375,0.15361,0.30047,0.57659,1.1642,0.92808,0.87755,0.96446,0.5892,0.92808,0.87755,0.96478,0.9497,1.16656,0.13845,0.11218,0.6366,1.25887,0.000571,0.000571,0.000571
67,103.167,0.93329,0.1653,0.32506,0.57384,1.1946,0.92743,0.89796,0.96543,0.58926,0.92743,0.89796,0.96635,0.95579,1.18015,0.13957,0.11361,0.64961,1.28505,0.0005644,0.0005644,0.0005644
68,104.672,0.92172,0.11788,0.25805,0.56203,1.21635,0.93689,0.909,0.97634,0.63441,0.9337,0.93878,0.98057,0.97011,1.0573,0.14867,0.10655,0.55203,1.22558,0.0005578,0.0005578,0.0005578
69,106.18,0.87791,0.14124,0.28382,0.55289,1.17017,0.89233,0.97959,0.9614,0.50579,0.92286,0.97661,0.96723,0.94935,1.3936,0.16983,0.10055,0.60175,1.46906,0.0005512,0.0005512,0.0005512
70,107.666,0.92992,0.14553,0.30194,0.52199,1.20279,0.90665,0.99111,0.95762,0.52513,0.90665,0.99111,0.96129,0.94908,1.39346,0.16164,0.09751,0.61646,1.46545,0.0005446,0.0005446,0.0005446
71,109.165,0.87834,0.14479,0.2693,0.55428,1.1689,0.91852,0.97959,0.95514,0.59684,0.91852,0.97959,0.95905,0.95638,1.19346,0.1412,0.09248,0.58885,1.28885,0.000538,0.000538,0.000538
72,110.716,0.96725,0.1757,0.2884,0.61554,1.25226,0.88633,0.95918,0.93202,0.51825,0.88633,0.95918,0.93985,0.93642,1.37061,0.11959,0.10556,0.65757,1.44209,0.0005314,0.0005314,0.0005314
73,112.253,0.98921,0.14516,0.33009,0.57328,1.26064,0.92137,0.95655,0.94596,0.63406,0.92137,0.95655,0.94596,0.94596,1.054,0.11009,0.10805,0.57617,1.23731,0.0005248,0.0005248,0.0005248
74,113.741,0.94968,0.18454,0.30294,0.62004,1.22896,0.92122,0.95461,0.95205,0.68111,0.92122,0.95461,0.95675,0.95483,0.92475,0.11264,0.10537,0.55149,1.16143,0.0005182,0.0005182,0.0005182
75,115.253,0.96324,0.13996,0.33283,0.60677,1.26103,0.92129,0.95554,0.94218,0.67749,0.92129,0.95554,0.95797,0.9503,0.90427,0.1196,0.11136,0.5248,1.11518,0.0005116,0.0005116,0.0005116
76,116.765,0.88733,0.13776,0.29174,0.55324,1.16946,0.86921,0.94946,0.92206,0.58348,0.86921,0.94946,0.92761,0.92113,1.13067,0.12744,0.10709,0.57524,1.24646,0.000505,0.000505,0.000505
77,118.254,0.90944,0.16463,0.28765,0.57249,1.16913,0.91385,0.89796,0.91491,0.51289,0.91385,0.89796,0.91895,0.91111,1.27432,0.1329,0.10856,0.61013,1.35293,0.0004984,0.0004984,0.0004984
78,119.769,0.95308,0.17345,0.30024,0.57008,1.19667,0.88123,0.93878,0.91902,0.57046,0.88123,0.93878,0.91984,0.91199,1.20009,0.13038,0.10699,0.60643,1.28512,0.0004918,0.0004918,0.0004918
