epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98585,3.03123,2.19613,0.71021,4.60907,3.21237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285714,0.00285714,0.0742857
2,3.4698,2.70449,1.99711,0.71533,3.95699,2.90067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614962,0.00614962,0.0442449
3,3.96411,3.11768,1.99035,0.72127,4.32799,3.12477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093981,0.0093981,0.01416
4,4.52771,3.24347,1.78245,0.67946,4.50667,3.32201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,5.07709,2.77983,1.60522,0.65114,3.1276,2.85872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,5.63873,2.77831,1.65002,0.64717,2.98593,2.8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,6.21658,2.88657,1.39511,0.65435,2.92063,3.01915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,6.79378,2.66703,1.48865,0.6193,2.91284,2.8434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,7.35245,2.71273,1.22733,0.63164,2.90086,2.92017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,7.92393,2.60863,1.22478,0.59813,2.93397,2.76158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,8.48192,2.54002,1.01094,0.55239,2.79332,2.67192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,9.05567,2.46555,1.03101,0.54276,2.66601,2.69777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,9.62192,2.59573,0.78994,0.49464,2.67896,2.70285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,10.1915,2.62757,1.03758,0.52584,2.64112,2.76076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,10.7675,2.49201,0.86927,0.57492,3.06538,2.79149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,11.3371,2.4011,0.8342,0.54103,2.59465,2.57352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,11.8922,2.34697,0.7102,0.59582,2.57115,2.55744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,12.4653,2.31208,0.61124,0.53891,2.47009,2.4837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,13.0365,2.49776,0.75786,0.51423,2.58614,2.72737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,13.6091,2.23624,0.57144,0.53843,2.51888,2.49471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,14.172,2.25914,0.82744,0.51688,2.54242,2.46967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,14.7357,2.24455,1.17111,0.57575,2.54014,2.53877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,15.3562,2.36727,0.80444,0.51149,2.57349,2.6348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
24,15.9718,2.3904,0.77992,0.56169,2.63216,2.58415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
25,16.5675,2.29404,0.5673,0.44106,2.42839,2.54982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
26,17.1822,2.34255,0.59918,0.40527,2.46503,2.62217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
27,17.8039,2.25281,0.59039,0.48192,2.75207,2.44349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
28,18.4054,2.2803,0.56577,0.47349,2.61192,2.46398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
29,18.9999,2.34183,0.71871,0.54516,2.47335,2.5567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
30,19.6143,2.44286,0.63336,0.53634,2.50854,2.56651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
31,20.2048,2.33185,0.60606,0.46272,2.37733,2.5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
