epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,71.6281,1.34746,0.44775,0.33878,0.78338,1.89852,0.95612,0.92453,0.9815,0.51677,0.97586,0.9434,0.98636,0.92239,1.65552,0.24948,0.12278,0.6772,2.18417,0.0008284,0.0008284,0.0008284
28,74.1182,1.36821,0.33091,0.36955,0.73668,1.97457,0.97263,0.90566,0.97934,0.54783,0.98857,0.92453,0.98447,0.93485,1.54906,0.33742,0.13636,0.63505,2.09724,0.0008218,0.0008218,0.0008218
29,76.6458,1.39949,0.36277,0.38567,0.79199,1.95664,0.96043,0.9159,0.98451,0.53008,0.98021,0.93453,0.98953,0.94986,1.62196,0.32347,0.14131,0.64293,2.13548,0.0008152,0.0008152,0.0008152
30,79.1232,1.31406,0.36277,0.31825,0.72289,1.89624,0.96132,0.93802,0.97609,0.42703,0.95206,0.96226,0.98873,0.95279,1.97578,0.28657,0.14526,0.72859,2.68484,0.0008086,0.0008086,0.0008086
31,81.6614,1.36681,0.35564,0.3569,0.73477,1.92236,0.92428,0.98113,0.98458,0.57333,0.99808,0.9434,0.98892,0.95558,1.465,0.28842,0.12769,0.60356,2.10777,0.000802,0.000802,0.000802
32,84.1575,1.32147,0.33709,0.35062,0.71045,1.90353,0.97619,0.92453,0.97897,0.58681,0.99637,0.9434,0.9868,0.94457,1.40806,0.27153,0.12699,0.58477,2.0228,0.0007954,0.0007954,0.0007954
33,86.6493,1.24063,0.34279,0.33052,0.68575,1.86116,0.9799,0.91976,0.97566,0.50559,1,0.93863,0.98249,0.942,1.72634,0.25683,0.1302,0.67051,2.44913,0.0007888,0.0007888,0.0007888
34,89.1299,1.25888,0.4055,0.34097,0.66272,1.86542,0.95493,0.96226,0.96883,0.57729,0.95493,0.96226,0.98178,0.93638,1.44087,0.26867,0.15212,0.56469,2.01214,0.0007822,0.0007822,0.0007822
35,91.6476,1.21619,0.30575,0.31334,0.63281,1.8328,0.9529,0.96226,0.97177,0.56118,0.99739,0.9434,0.9849,0.92445,1.50077,0.26368,0.14819,0.57584,2.04112,0.0007756,0.0007756,0.0007756
36,94.1306,1.26275,0.31151,0.32384,0.67718,1.82223,0.97754,0.9434,0.97881,0.45622,0.99734,0.96226,0.98839,0.8799,1.84608,0.26661,0.12318,0.68976,2.43318,0.000769,0.000769,0.000769
37,96.6389,1.29636,0.34512,0.27563,0.6722,1.86821,0.98073,0.9605,0.97546,0.5425,0.99413,0.96226,0.99084,0.89512,1.57563,0.29083,0.12504,0.62174,2.12507,0.0007624,0.0007624,0.0007624
38,99.1231,1.28084,0.37323,0.34121,0.68833,1.79773,0.97498,0.96226,0.97252,0.57205,0.97498,0.96226,0.98714,0.91915,1.44933,0.29288,0.12421,0.58797,2.0222,0.0007558,0.0007558,0.0007558
