epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76528,2.87246,1.81993,0.72569,4.2664,3.08651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277778,0.00277778,0.075
2,3.21221,2.97092,1.798,0.72512,4.28449,3.17594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607078,0.00607078,0.0449597
3,3.64015,2.83557,1.87095,0.73529,4.05653,2.97302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931978,0.00931978,0.0148753
4,4.08508,2.89609,1.73389,0.72193,4.02283,3.07686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,4.55382,2.98099,1.76407,0.70895,4.42005,3.06389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,5.09369,2.88881,1.63163,0.68438,3.23203,2.98853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,5.66059,2.94179,1.72254,0.66888,3.07342,3.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,6.22581,2.64786,1.57924,0.65644,3.09015,2.91485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,6.78784,2.73779,1.56914,0.63861,3.07758,2.9644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,7.35251,2.60813,1.517,0.59987,3.07191,2.85556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,7.92401,2.74614,1.517,0.5955,3.04092,2.95603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,8.49925,2.63992,1.50981,0.56576,2.94617,2.84829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,9.04515,2.52072,1.38752,0.5829,3.01571,2.82974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,9.59824,2.59805,1.31161,0.58529,2.95736,2.80716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,10.1474,2.5433,1.17979,0.58585,2.88121,2.82744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,10.696,2.39918,1.10539,0.61976,2.90912,2.76249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,11.2443,2.21559,1.22579,0.5988,2.9715,2.71414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,11.7899,2.35079,1.07914,0.56624,2.95548,2.76181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,12.316,2.32883,1.06624,0.53002,2.99945,2.81284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,12.878,2.23695,1.05811,0.53387,2.88322,2.71955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,13.4266,2.2452,1.001,0.55004,2.92311,2.69654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,13.9984,2.16711,0.97982,0.53174,2.9402,2.6984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,14.5773,2.20851,0.8383,0.50618,2.87183,2.64148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
