epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,79.1679,0.54156,0.78681,0.53402,0.94592,0,0.90913,0.92308,0.97018,0.85571,0.90913,0.92308,0.97018,0.84219,0.48707,0.81493,0.49927,0.89724,0,0.0008218,0.0008218,0.0008218
29,81.9061,0.49195,0.73739,0.51008,0.91474,0,0.9246,0.94505,0.96948,0.87601,0.9246,0.94505,0.96948,0.84466,0.43042,0.8339,0.47144,0.89555,0,0.0008152,0.0008152,0.0008152
30,84.6554,0.47153,0.75594,0.49254,0.89807,0,0.95406,0.93407,0.97691,0.87695,0.95406,0.93407,0.97691,0.86165,0.44299,0.75471,0.44591,0.87317,0,0.0008086,0.0008086,0.0008086
31,87.3786,0.5187,0.72407,0.51292,0.91264,0,0.96488,0.93407,0.97651,0.87629,0.96488,0.93407,0.97651,0.86196,0.46419,0.78098,0.46165,0.88365,0,0.000802,0.000802,0.000802
32,90.0858,0.47796,0.73328,0.4806,0.89221,0,0.9645,0.95604,0.97756,0.88565,0.9645,0.95604,0.97756,0.85011,0.44191,0.8539,0.4389,0.87888,0,0.0007954,0.0007954,0.0007954
33,92.8343,0.4829,0.78073,0.48436,0.90078,0,0.96412,0.92308,0.97361,0.87573,0.96412,0.92308,0.97361,0.84934,0.46335,0.88045,0.4819,0.89477,0,0.0007888,0.0007888,0.0007888
34,95.5585,0.48457,0.74166,0.47944,0.89531,0,0.96629,0.94487,0.97086,0.87264,0.96629,0.94487,0.97086,0.8438,0.4785,0.87203,0.44247,0.88237,0,0.0007822,0.0007822,0.0007822
35,98.2939,0.49371,0.71728,0.48307,0.90161,0,0.97723,0.9431,0.9701,0.86333,0.97723,0.9431,0.9701,0.85105,0.49321,0.78797,0.45358,0.8988,0,0.0007756,0.0007756,0.0007756
36,101.072,0.48245,0.75507,0.45443,0.88918,0,0.94434,0.94505,0.96473,0.859,0.94434,0.94505,0.96473,0.8475,0.45803,0.76626,0.45641,0.88122,0,0.000769,0.000769,0.000769
37,103.807,0.49117,0.69479,0.4499,0.89202,0,0.97483,0.94505,0.97542,0.88114,0.97483,0.94505,0.97542,0.86974,0.47301,0.73107,0.43495,0.8933,0,0.0007624,0.0007624,0.0007624
38,106.609,0.47367,0.70225,0.4622,0.88993,0,0.9546,0.93407,0.97758,0.88045,0.9546,0.93407,0.97758,0.85798,0.47777,0.8415,0.4262,0.89546,0,0.0007558,0.0007558,0.0007558
39,109.666,0.48426,0.69724,0.46939,0.90742,0,0.96588,0.93323,0.9786,0.8803,0.96588,0.93323,0.9786,0.86844,0.47629,0.85071,0.40076,0.89481,0,0.0007492,0.0007492,0.0007492
40,112.703,0.45689,0.74934,0.77129,0.87647,0,0.93922,0.94505,0.96536,0.87002,0.93922,0.94505,0.96536,0.85904,0.43864,0.79332,0.42629,0.8781,0,0.0007426,0.0007426,0.0007426
41,115.728,0.43343,0.65138,0.4255,0.89363,0,0.95448,0.93407,0.96006,0.86916,0.95448,0.93407,0.96006,0.85085,0.42502,0.78626,0.44423,0.88448,0,0.000736,0.000736,0.000736
42,118.801,0.43106,0.63589,0.41055,0.88014,0,0.93291,0.94505,0.97803,0.86001,0.93291,0.94505,0.97803,0.86062,0.51118,0.83763,0.42817,0.93967,0,0.0007294,0.0007294,0.0007294
43,121.896,0.41476,0.64901,0.40968,0.87613,0,0.92528,0.96703,0.97814,0.88579,0.92528,0.96703,0.97814,0.87229,0.44024,0.74645,0.38924,0.88549,0,0.0007228,0.0007228,0.0007228
44,125.04,0.45327,0.69288,0.42435,0.88397,0,0.95554,0.94475,0.97639,0.88892,0.95554,0.94475,0.97639,0.86598,0.45138,0.76632,0.39911,0.88009,0,0.0007162,0.0007162,0.0007162
45,128.067,0.43299,0.67891,0.41906,0.87796,0,0.95426,0.94505,0.96329,0.87589,0.95426,0.94505,0.96329,0.84353,0.43375,0.81763,0.42673,0.88705,0,0.0007096,0.0007096,0.0007096
46,131.166,0.47793,0.73638,0.44763,0.89695,0,0.95649,0.9663,0.96687,0.88006,0.95649,0.9663,0.96687,0.85326,0.41268,0.77797,0.38668,0.87722,0,0.000703,0.000703,0.000703
47,134.182,0.44748,0.70307,0.41093,0.88116,0,0.96362,0.96703,0.97102,0.874,0.96362,0.96703,0.97102,0.85024,0.44468,0.84868,0.40175,0.88551,0,0.0006964,0.0006964,0.0006964
48,137.226,0.44754,0.62577,0.42005,0.88814,0,0.96446,0.96703,0.9712,0.884,0.96446,0.96703,0.9712,0.85076,0.44543,0.79374,0.39548,0.90299,0,0.0006898,0.0006898,0.0006898
49,140.3,0.42633,0.62348,0.41342,0.88213,0,0.97777,0.9667,0.97352,0.87125,0.97777,0.9667,0.97352,0.85475,0.46452,0.78153,0.41354,0.88484,0,0.0006832,0.0006832,0.0006832
50,143.381,0.41869,0.58838,0.39485,0.86792,0,0.96563,0.92628,0.9729,0.86259,0.96568,0.92761,0.97331,0.85329,0.45773,0.76606,0.48767,0.91316,0,0.0006766,0.0006766,0.0006766
51,146.425,0.42442,0.66111,0.42676,0.87829,0,0.95545,0.94274,0.96974,0.86737,0.95545,0.94274,0.96974,0.85347,0.47672,0.78198,0.42483,0.89561,0,0.00067,0.00067,0.00067
52,149.467,0.47133,0.68576,0.42213,0.90403,0,0.95331,0.92308,0.97634,0.87511,0.95331,0.92308,0.97634,0.85654,0.46998,0.77659,0.40556,0.90417,0,0.0006634,0.0006634,0.0006634
53,152.628,0.41272,0.60657,0.38128,0.87829,0,0.96552,0.92307,0.97446,0.88373,0.96552,0.92307,0.97446,0.86831,0.4331,0.77256,0.41274,0.89818,0,0.0006568,0.0006568,0.0006568
54,155.746,0.4121,0.64443,0.39814,0.87416,0,0.96233,0.92308,0.97752,0.89636,0.96233,0.92308,0.97752,0.87146,0.42555,0.76026,0.38806,0.88941,0,0.0006502,0.0006502,0.0006502
55,158.807,0.38477,0.57953,0.35579,0.85974,0,0.97145,0.92308,0.97546,0.90688,0.97145,0.92308,0.97546,0.86693,0.42045,0.77939,0.41014,0.89079,0,0.0006436,0.0006436,0.0006436
56,161.909,0.40454,0.63807,0.37594,0.86586,0,0.95389,0.95604,0.97638,0.89559,0.95389,0.95604,0.97638,0.87522,0.40528,0.7421,0.37469,0.87455,0,0.000637,0.000637,0.000637
57,164.927,0.43084,0.651,0.42851,0.88713,0,0.94581,0.96703,0.97491,0.8996,0.94581,0.96703,0.97491,0.87286,0.3925,0.73943,0.37282,0.85844,0,0.0006304,0.0006304,0.0006304
58,168.045,0.41538,0.61051,0.38194,0.86269,0,0.94279,0.97802,0.97925,0.87929,0.94279,0.97802,0.97925,0.87779,0.46442,0.76268,0.37384,0.89528,0,0.0006238,0.0006238,0.0006238
59,171.093,0.38293,0.61384,0.35607,0.87079,0,0.99726,0.93407,0.97714,0.88567,0.99726,0.93407,0.97714,0.8629,0.44556,0.78181,0.36986,0.90079,0,0.0006172,0.0006172,0.0006172
60,174.168,0.4178,0.65864,0.38745,0.86834,0,0.98677,0.94505,0.97278,0.87633,0.98677,0.94505,0.97278,0.8618,0.43507,0.76326,0.38224,0.87989,0,0.0006106,0.0006106,0.0006106
61,177.249,0.4307,0.63554,0.3792,0.87993,0,0.96626,0.9441,0.97317,0.87889,0.96626,0.9441,0.97317,0.84236,0.44549,0.94335,0.41649,0.90089,0,0.000604,0.000604,0.000604
62,180.277,0.41061,0.63227,0.39369,0.88616,0,0.96441,0.93407,0.96594,0.86354,0.96441,0.93407,0.96594,0.86354,0.45345,0.75832,0.43628,0.90448,0,0.0005974,0.0005974,0.0005974
63,183.381,0.40416,0.60499,0.36738,0.8849,0,0.96527,0.93407,0.97044,0.87612,0.96527,0.93407,0.97044,0.86418,0.44498,0.74318,0.42699,0.88993,0,0.0005908,0.0005908,0.0005908
64,186.412,0.40328,0.62587,0.38141,0.88066,0,0.94303,0.93407,0.97435,0.86576,0.94303,0.93407,0.97435,0.85398,0.44721,0.79716,0.42658,0.94052,0,0.0005842,0.0005842,0.0005842
65,189.442,0.37843,0.56218,0.35012,0.87315,0,0.99616,0.9011,0.9765,0.87729,0.99616,0.9011,0.9765,0.86748,0.42174,0.73326,0.39258,0.89017,0,0.0005776,0.0005776,0.0005776
66,192.504,0.42878,0.62754,0.37747,0.89492,0,0.99627,0.92308,0.97758,0.87948,0.99627,0.92308,0.97758,0.8704,0.41215,0.74595,0.36153,0.88378,0,0.000571,0.000571,0.000571
67,195.534,0.40527,0.60531,0.36866,0.85725,0,0.97699,0.93299,0.97874,0.8824,0.97699,0.93299,0.97874,0.86475,0.43797,0.77668,0.36698,0.91016,0,0.0005644,0.0005644,0.0005644
68,198.548,0.37371,0.57477,0.34423,0.86526,0,0.95501,0.93407,0.97515,0.86789,0.95501,0.93407,0.97515,0.87591,0.42631,0.72999,0.39364,0.8914,0,0.0005578,0.0005578,0.0005578
